date,region,product,sales,units,marketing_spend,profit
2023-01-15,North,Widget A,12500,250,2000,5250
2023-01-22,South,Widget B,9800,140,1500,4300
2023-01-28,East,Widget A,11200,224,1800,4720
2023-02-05,West,Widget C,15300,153,2500,7150
2023-02-12,North,Widget B,10500,150,1600,4600
2023-02-19,South,Widget C,13700,137,2200,6350
2023-02-26,East,Widget B,8900,127,1400,3890
2023-03-05,West,Widget A,14200,284,2300,5980
2023-03-12,North,Widget C,12800,128,2100,5950
2023-03-19,South,Widget A,9300,186,1450,3900
2023-03-26,East,Widget C,11800,118,1900,5480
2023-04-02,West,Widget B,15800,226,2600,6920
2023-04-09,North,Widget A,13500,270,2200,5670
2023-04-16,South,Widget B,10200,146,1550,4470
2023-04-23,East,Widget A,12100,242,1950,5080
2023-04-30,West,Widget C,16500,165,2700,7675
2023-05-07,North,Widget B,11300,161,1750,4950
2023-05-14,South,Widget C,14500,145,2350,6725
2023-05-21,East,Widget B,9500,136,1500,4150
2023-05-28,West,Widget A,15300,306,2500,6430
2023-06-04,North,Widget C,13800,138,2250,6410
2023-06-11,South,Widget A,10100,202,1550,4240
2023-06-18,East,Widget C,12700,127,2050,5890
2023-06-25,West,Widget B,16800,240,2750,7350 
